start_dt,end_dt,sensor_num,cpu_serial,geo_cal_scale,mass_cal_offset,channel_a_resistor_ohms,channel_a_capacitor_farads,channel_a_RC_const_seconds,channel_a_gain,static_cal_offset_channel_a,static_cal_scale_channel_a,channel_b_resistor_ohms,channel_b_capacitor_farads,channel_b_RC_const_seconds,channel_b_gain,static_cal_offset_channel_b,static_cal_scale_channel_b,channel_c_resistor_ohms,channel_c_capacitor_farads,channel_c_RC_const_seconds,channel_c_gain,static_cal_offset_channel_c,static_cal_scale_channel_c
2023-01-01 00:00:00,2024-08-30 23:59:59,1,0xeaf14755,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-18 23:59:59,2,0x2cf540ea,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,3,0xbd48bd0a,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-09-02 23:59:59,5,0x93af7e18,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,6,0x9473dbbe,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,7,0x87a8398b,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-09-02 23:59:59,8,0x794f05f,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-02 23:59:59,9,0xa94dbd21,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,10,0x77f2bb93,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2024-10-18 00:00:00,2024-11-18 23:59:59,8,0x15b661ff,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2024-11-03 00:00:00,2024-11-30 23:59:59,9,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2025-04-22 00:00:00,2025-09-28 23:59:59,5,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-04-25 00:00:00,2025-09-28 23:59:59,1,0xdcc361a9,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-04-29 00:00:00,2025-09-28 23:59:59,2,0x15b661ff,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-05-04 00:00:00,2025-06-11 23:59:59,8,0x4be2267,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,3,0xbd48bd0a,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,6,0x9473dbbe,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,7,0x87a8398b,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,10,0x77f2bb93,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-04-21 23:59:59,9,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,1,0xdcc361a9,,-5001576.988678711,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,2,0x15b661ff,,-5021615.615731319,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,3,0xbd48bd0a,,-4547383.297100374,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,5,0x37666684,,-5112843.14173936,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,6,0x9473dbbe,,-5099770.514448967,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,7,0x87a8398b,,-4993024.666756881,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2026-03-06 00:00:00,2026-04-30 23:59:59,8,0xca597a6d,,-5146785.791242981,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,10,0x77f2bb93,,-5025766.200716109,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2026-04-30 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,1,0xdcc361a9,1.6617,-5007886.77192397,1.0e+07,1e-08,0.1,1,-1.85251884031651e-14,5.43274992813298e-11,1.0e+08,1e-09,0.1,10,-6.31532291293588e-12,5.58262864953167e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,2,0xd353609a,1.6617,-5027449.96565792,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-1.63832024038002e-12,5.6731291680249e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,3,0xbd48bd0a,1.6617,-4500474.20858061,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-6.28691337919458e-12,6.16072243208806e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,4,0xeb01208d,1.6617,-5070496.7480522,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-1.07286406369025e-12,5.76534781069417e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,5,0x37666684,1.6617,-5116485.93324667,1.0e+07,1e-08,0.1,1,-1.38734601e-13,5.33605019e-11,1.0e+08,1e-09,0.1,10,-2.2651930623314e-12,5.47576351e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,6,0x9dbbcd32,1.6617,-5106942.0824054,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-4.3430458099236e-12,6.05261077365861e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,7,0x4738109d,1.6617,-5022516.42387567,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-3.6395871430845e-12,5.88575659400942e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,8,0xca597a6d,1.6617,-5150961.9493336,1.0e+07,1e-08,0.1,1,-1.05547501849181e-13,5.35013572544976e-11,1.0e+08,1e-09,0.1,10,-4.14238034908022e-12,5.73881944600136e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,9,0xb8c7ead8,1.6617,-5080798.07734446,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-3.57717095858318e-12,5.93584420717351e-10,1.0e+07,1e-07,1.0,1,,
2026-05-01 00:00:00,2099-12-31 23:59:59,10,0x77f2bb93,1.6617,-5044186.71664294,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,-2.96326423659837e-12,5.68360976836575e-10,1.0e+07,1e-07,1.0,1,,
